method,eps,min_samples,n_clusters,noise_fraction,silhouette_core,n_points
dbscan,10.3061,8,2,0.21662,0.5344054102897644,50000
dbscan,10.3061,10,2,0.21892,0.5273001790046692,50000
dbscan,10.3061,20,2,0.22722,0.5086822509765625,50000
dbscan,11.5649,5,2,0.13396,0.5020182728767395,50000
dbscan,10.3061,15,2,0.22374,0.4935925602912903,50000
dbscan,8.9789,10,2,0.34802,0.49262115359306335,50000
dbscan,14.7602,8,2,0.04304,0.37255463004112244,50000
dbscan,13.1273,5,2,0.0747,0.3677845895290375,50000
dbscan,5.7984,30,2,0.86026,0.35375645756721497,50000
dbscan,17.5863,5,2,0.0172,0.31864404678344727,50000
dbscan,7.8619,10,3,0.4939,0.2992252707481384,50000
dbscan,7.8619,15,3,0.50432,0.22493235766887665,50000
dbscan,6.8426,10,3,0.64766,0.18925541639328003,50000
dbscan,7.8619,8,5,0.48916,0.1682889759540558,50000
dbscan,5.7984,15,4,0.82836,0.1612330675125122,50000
dbscan,5.7984,20,5,0.8387,0.13702255487442017,50000
dbscan,8.9789,8,3,0.34418,0.12808576226234436,50000
dbscan,5.7984,10,4,0.8154,0.10825204849243164,50000
dbscan,6.8426,5,12,0.63242,0.08159799128770828,50000
dbscan,5.7984,8,3,0.80904,0.06306981295347214,50000
dbscan,10.3061,5,5,0.21226,0.05067814886569977,50000
dbscan,6.8426,8,7,0.64248,-0.04154253005981445,50000
dbscan,7.8619,5,11,0.48004,-0.05336590111255646,50000
dbscan,8.9789,5,10,0.33696,-0.18631111085414886,50000
dbscan,5.7984,5,9,0.7984,-0.28448230028152466,50000
dbscan,22.5607,5,1,0.00546,,50000
dbscan,22.5607,8,1,0.00564,,50000
dbscan,22.5607,10,1,0.00578,,50000
dbscan,22.5607,15,1,0.0059,,50000
dbscan,22.5607,20,1,0.00616,,50000
dbscan,22.5607,30,1,0.00638,,50000
dbscan,17.5863,8,1,0.01766,,50000
dbscan,17.5863,10,1,0.01782,,50000
dbscan,17.5863,15,1,0.01828,,50000
dbscan,17.5863,20,1,0.01874,,50000
dbscan,17.5863,30,1,0.01942,,50000
dbscan,14.7602,5,1,0.04198,,50000
dbscan,14.7602,10,1,0.04374,,50000
dbscan,14.7602,15,1,0.04476,,50000
dbscan,14.7602,20,1,0.04558,,50000
dbscan,14.7602,30,1,0.04686,,50000
dbscan,13.1273,8,1,0.07656,,50000
dbscan,13.1273,10,1,0.07748,,50000
dbscan,13.1273,15,1,0.07948,,50000
dbscan,13.1273,20,1,0.08082,,50000
dbscan,13.1273,30,1,0.08328,,50000
dbscan,11.5649,8,1,0.13636,,50000
dbscan,11.5649,10,1,0.13784,,50000
dbscan,11.5649,15,1,0.14142,,50000
dbscan,11.5649,20,1,0.14376,,50000
dbscan,11.5649,30,1,0.14784,,50000
dbscan,10.3061,30,1,0.23456,,50000
dbscan,8.9789,15,1,0.35512,,50000
dbscan,8.9789,20,1,0.36156,,50000
dbscan,8.9789,30,1,0.37474,,50000
dbscan,7.8619,20,1,0.51128,,50000
dbscan,7.8619,30,1,0.52122,,50000
dbscan,6.8426,15,1,0.6571,,50000
dbscan,6.8426,20,1,0.66506,,50000
dbscan,6.8426,30,1,0.67984,,50000
