eps,min_samples,n_clusters,noise_fraction,silhouette
0.15,10,30,0.7337,-0.5522730407790537
0.15,20,7,0.81578,-0.1676382097532457
0.15,30,5,0.85098,0.41562686195307263
0.15,40,5,0.88358,0.5033470317298328
0.2,10,17,0.48978,-0.662087361617046
0.2,20,3,0.56986,-0.36870372604389823
0.2,30,6,0.6285,-0.3442236119689981
0.2,40,3,0.67302,0.23508182835841643
0.25,10,7,0.32638,-0.5297289552807671
0.25,20,1,0.38562,
0.25,30,1,0.42788,
0.25,40,1,0.46046,
0.3,10,2,0.22596,0.5220921552925641
0.3,20,1,0.26782,
0.3,30,1,0.2945,
0.3,40,1,0.31718,
0.35,10,1,0.16024,
0.35,20,2,0.1912,0.5259810594460244
0.35,30,1,0.21196,
0.35,40,1,0.22852,
