n_estimators,max_depth,min_samples_leaf,macro_f1,weighted_f1,minority_recall
800,,2,0.7991486116043982,0.9112980279936613,0.6201716738197425
500,40.0,2,0.7990860352516951,0.9114326540387439,0.6201716738197425
800,40.0,2,0.7990553789597568,0.9112972701512164,0.6266094420600858
500,,2,0.7985599686966033,0.9112313868464651,0.6180257510729614
300,,2,0.7985447526688579,0.9110287770927994,0.6223175965665236
300,,1,0.7981766682323925,0.9111290693878226,0.5944206008583691
300,40.0,2,0.7980012481799857,0.9115265110213926,0.6180257510729614
800,40.0,1,0.7968734458791393,0.9110727378639254,0.6030042918454935
800,,1,0.7963724605171499,0.910647112977344,0.5901287553648069
500,,1,0.795933067176653,0.9108504133702562,0.5879828326180258
500,40.0,1,0.7953909784233104,0.9108013981448173,0.5987124463519313
300,40.0,1,0.7946860162019276,0.9104188143284051,0.5965665236051502
500,20.0,2,0.7937218060178646,0.9104239842452679,0.6617063492063492
800,20.0,2,0.7934907476737433,0.9102997734121848,0.6607142857142857
500,20.0,1,0.7932969049981369,0.9100404696463484,0.6557539682539683
300,20.0,2,0.7932442975805465,0.9102245314897291,0.6617063492063492
800,20.0,1,0.7932332093906409,0.9100886142775252,0.6577380952380952
300,20.0,1,0.7919742083910813,0.9099209679536073,0.6547619047619048
